Population: 400
Percentage of population that is vaccinated: 0.9
Virus Name: Ebola
Virus Mortality Rate: 0.7
Virus Reproduction Rate: 0.25
Time step 0 ended, beginning 1
155 didn't infect 49 because vaccinated 
155 didn't infect 321 because vaccinated 
155 didn't infect 330 because vaccinated 
155 didn't infect 20 because vaccinated 
155 didn't infect 158 because vaccinated 
155 didn't infect 225 because already sick 
155 didn't infect 17 because vaccinated 
155 didn't infect 296 because vaccinated 
155 didn't infect 186 because vaccinated 
155 infects 374 
155 didn't infect 151 because vaccinated 
155 didn't infect 167 because vaccinated 
155 didn't infect 382 because vaccinated 
155 didn't infect 212 because vaccinated 
155 didn't infect 89 because vaccinated 
155 didn't infect 102 because vaccinated 
155 didn't infect 67 because vaccinated 
155 didn't infect 276 because vaccinated 
155 didn't infect 187 because vaccinated 
155 didn't infect 139 because vaccinated 
155 didn't infect 84 because vaccinated 
155 didn't infect 131 because vaccinated 
155 didn't infect 246 because vaccinated 
155 didn't infect 151 because vaccinated 
155 didn't infect 382 because vaccinated 
155 didn't infect 173 because vaccinated 
155 didn't infect 58 because vaccinated 
155 didn't infect 38 because already sick 
155 didn't infect 72 because vaccinated 
155 didn't infect 386 because vaccinated 
155 didn't infect 115 because vaccinated 
155 didn't infect 346 because vaccinated 
155 didn't infect 370 because vaccinated 
155 didn't infect 345 because vaccinated 
155 didn't infect 203 because vaccinated 
155 didn't infect 285 because vaccinated 
155 infects 187 
155 didn't infect 202 because vaccinated 
155 didn't infect 7 because vaccinated 
155 didn't infect 135 because vaccinated 
155 didn't infect 274 because vaccinated 
